;No response;Rejected;Talking;Hired;
30/08/2025;Venture Up;React;London, UK;45-55k pounds;https://www.linkedin.com/jobs/search/?currentJobId=4292869886&geoId=90009496&origin=JOBS_HOME_LOCATION_HISTORY&refresh=true
30/08/2025;Oliver Bernard;React;London, UK;60k pounds;https://www.linkedin.com/jobs/search/?currentJobId=4291470017&f_EA=true&geoId=90009496&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R
07/09/2025;Xelix;React;London, UK;55-60k pounds;https://careers.xelix.com/jobs/6358424/applications/9a93529e-5b97-4e61-9895-f97a3567d3c1/thanks
07/09/2025;Red Shift (Radar);Software engineer;London, UK;X;https://careers.redsift.com/jobs/6414780-software-engineer-radar/applications/8d67b997-9012-4582-bda0-f985a1fe4907/thanks/14dc7b3d96f61fb7d7ae8fd5ecf15161d6d7ed0bab024e65d3b32a1f49670add?tmp_ctoken=367bd3ec21fbc2d4a316cca4b665c345eedd230b3d1afcc17eb7577551e3bd71
07/09/2025;Humant Life;React;London, UK;X;https://www.linkedin.com/jobs/search/?currentJobId=4295670798&f_EA=true&geoId=102257491&keywords=react&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true&sortBy=R
07/09/2025;Evil Works;React;London, UK;50K pounds;https://www.glassdoor.es/Empleo/londres-inglaterra-reino-unido-empleos-SRCH_IL.0,30_IC2671300.htm
07/09/2025;DOCOsoft;Frontend;Dublin, Ireland;45-84K eur;https://www.glassdoor.es/Empleo/dubl%C3%ADn-irlanda-frontend-developer-empleos-SRCH_IL.0,14_IC2739035_KO15,33.htm?smart-apply-action=POST_APPLY
07/09/2025;KitmanLabs;React;Dublin, Ireland;x;https://www.glassdoor.es/Empleo/dubl%C3%ADn-irlanda-frontend-developer-empleos-SRCH_IL.0,14_IC2739035_KO15,33.htm
07/09/2025;Propilon;Frontend;Dublin, Ireland;45-72K eur;https://www.glassdoor.es/Empleo/dubl%C3%ADn-irlanda-frontend-developer-empleos-SRCH_IL.0,14_IC2739035_KO15,33.htm
07/09/2025;Balance;Frontend;Dublin, Ireland;70-80k eur;https://www.linkedin.com/jobs/search/?currentJobId=4296199886&geoId=104738515&keywords=frontend&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R&spellCorrectionEnabled=true
08/09/2025;Delta Capital;Frotend;Dublin, Ireland;64-68K eur;https://www.glassdoor.es/Empleo/dubl%C3%ADn-dubl%C3%ADn-react-empleos-SRCH_IL.0,13_IC2739035_KO14,19.htm
08/09/2025;Grouper;Software engineer;Dublin, Ireland;55-60k eur;https://www.glassdoor.es/Empleo/dubl%C3%ADn-dubl%C3%ADn-react-empleos-SRCH_IL.0,13_IC2739035_KO14,19.htm
08/09/2025;Apron;React;London, UK;49-70k pounds;https://www.glassdoor.es/Empleo/londres-inglaterra-reino-unido-empleos-SRCH_IL.0,30_IC2671300.htm
12/09/2025;Arista Network;Frontend;Dublin, Ireland;x;https://www.glassdoor.es/Empleo/dubl%C3%ADn-irlanda-react-empleos-SRCH_IL.0,14_IC2739035_KO15,20.htm
;LLoyds;Frontend;London, UK;50k pounds;https://www.reed.co.uk/jobs/front-end-developer/55524316?source=searchResults&filter=%2Fjobs%2Ffrontend-developer-jobs-in-london
;The portfolio group;Frontend;Manchester, UK;55k pounds;https://www.reed.co.uk/jobs/frontend-developer/55616310?source=searchResults&filter=%2Fjobs%2Ffrontend-jobs
;Harnham;Frontend;Leicetershire (REMOTE);55k pounds;https://www.reed.co.uk/jobs/frontend-developer-react/55536397?source=searchResults&filter=%2Fjobs%2Ffrontend-jobs
;MRJ developers;Frontend;Manchester, UK;x;https://www.linkedin.com/jobs/search/?currentJobId=4294432891&geoId=102299470&keywords=react&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true
;Hartley Co;frontend;basingstoke, uk;40-45k pounds;https://www.linkedin.com/jobs/search/?currentJobId=4297443222&geoId=102299470&keywords=react&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true
;Zebra people (start-up);frontend;euston, uk;up to 50k pounds;https://www.linkedin.com/jobs/search/?currentJobId=4297461052&f_TPR=r86400&geoId=102299470&keywords=react&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R&spellCorrectionEnabled=true
;harvey nash;frontend;surrey;50-60k pounds;https://www.linkedin.com/jobs/search/?currentJobId=4299414146&f_TPR=r86400&geoId=102299470&keywords=react&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R&spellCorrectionEnabled=true
;Opus Resourcing Ltd;full stack;cambridge;50-70k pounds;https://www.linkedin.com/jobs/search/?currentJobId=4299029045&f_TPR=r86400&geoId=102299470&keywords=sponsorship&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true&sortBy=R&spellCorrectionEnabled=true&start=25
21/09/2025;Salt Search;Frontend Developer;London, UK;45k pounds;https://www.reed.co.uk/jobs/frontend-developer/55678732?source=searchResults&filter=%2Fjobs%2Ffrontend-developer-jobs-in-london
01/10/2025;JPMorganChase;Frontend + SRE Engineer (like devops :D );Dublin, Ireland;x;https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210602201
;VentureUp;Frontend;London, UK;45-55k pounds;https://www.linkedin.com/jobs/search/?currentJobId=4309016118&geoId=90009496&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true
;Global Relay;React mid;London, UK;x;https://cord.com/u/global-relay/jobs/298782-intermediate-react-developer-%28react.js%2Fjavascript%29?listing_id=298782
;Aqucire;Frontend;London, UK;45-55k pounds;https://www.linkedin.com/jobs/search/?currentJobId=4307623203&geoId=90009496&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true
02/10/2025;Lloyds Banking Group;Javascript Developer;London and other UK cities;48-55k pounds;https://lbg.wd3.myworkdayjobs.com/broadbean_external/job/London-125-London-Wall/Javascript-Developer_142618-1?source=linkedin
;Terraa;Frontend;London;45-55k pounds;https://revolutpeople.com/terraapi/public/careers/apply/frontend-engineer-a516af32-4355-4ef9-9bd2-0dd92d3b4d8a
;TrustFlight;Software engineer (React);London;45-50K pounds;https://cord.com/candidate/discover/u/trustflight/jobs/302285-software-engineer-(typescript%2Freact.js)
;Copart Uk Limited;Software engineer;Wootom UK (near London);40-50k pounds;https://www.linkedin.com/jobs/search/?currentJobId=4296050341&distance=25&geoId=102299470&keywords=UK%20Visa%20Sponsorship%20Jobs&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true
06/10/2025;Ledger;Front End Engineer;London;40-55k pounds;https://jobs.ashbyhq.com/ledger/836b1992-0645-4d57-a4a1-92ad2f60fb35/application
;Umbrel;Senior React Developer;London;40-55k pounds;https://app.withrapha.com/job/685/application?r=20b6143c-863c-45f3-9bd6-8f4ddf91d07f
21/10/2025;Copart Uk Limited;Software engineer;Wooton Uk;50K pounds;https://www.linkedin.com/jobs/search/?currentJobId=4316469964&distance=25&geoId=102299470&keywords=UK%20Visa%20Sponsorship%20Jobs&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true
;Track 24;React;London;x;https://www.linkedin.com/jobs/search/?currentJobId=4316321983&distance=25&geoId=102299470&keywords=react&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true
;Akkodis;React ;London;45k pounds;https://www.linkedin.com/jobs/search/?currentJobId=4313016565&distance=25&geoId=102299470&keywords=react&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true
;Talego;Front;Lodon;45-50K pounds;https://www.linkedin.com/jobs/search/?currentJobId=4311960430&distance=25&geoId=102299470&keywords=react&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true&start=25
;Hartley Co;React;basingstoke, uk;45-55k pounds;https://www.linkedin.com/jobs/search/?currentJobId=4313358015&distance=25&geoId=102299470&keywords=react&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true&start=25
;Zendesk;React;Dublin, Ireland;x;https://www.linkedin.com/jobs/search/?currentJobId=4314911584&f_EA=true&f_TPR=r604800&geoId=104738515&keywords=react&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R&spellCorrectionEnabled=true
;lumenalta;React and python;Dublin, Ireland;52k euros;Mid-Level Fullstack Python/React Engineer
22/10/2025;accenture;Full stack;Dublin, Ireland;x;https://www.accenture.com/ie-en/careers/jobdetails?id=R00285978_en&src=LINKEDINJP
;Stripe;Frontend;Dublin, Ireland;80k euros (lol);https://stripe.com/jobs/listing/frontend-software-engineer-remediations-user-experience/7313894
;intercom;Product engineer (it's like full stack);Dublin, Ireland;50-60k;https://job-boards.greenhouse.io/intercom/jobs/6810055?gh_src=03eedd9d1us
;Hubspot;Senior Software Engineer I, Frontend;Dublin, Ireland;50-60k;https://www.hubspot.com/careers/jobs/7276342?hubs_signup-cta=careers-apply
;Amazon;Senior fronted (Aurora and RDS);Dublin, Ireland;50-70k;https://amazon.jobs/en/jobs/3109599/senior-front-end-engineer-aurora-and-rds-console
;Meta;Software Engineer, Product;London;x;https://www.metacareers.com/resume/response/?success=1&req=a1KDp00000E2ZQrMAN&application=AbvxDunyoOUjxjJAP6BwbnKDp5iU5x8s2-kneoxrXTomuDy5rJEIcNaFMUCSVCiPgB1mCjwJyfygqBV5AVq6EeDa4hSmAyD-KwMQUlnii_3c7yrsvTQfOkw_Z6SiCml0QqCfPKfDNT4qA8oduPVJ03wO17RWT7pfVtyCInM&has_fte_warning=0&was_cp_account_created=0
;Microsoft;Software Engineer II - Azure Portal;Dublin, Ireland;x;https://jobs.careers.microsoft.com/global/en/job/1877655/Software-Engineer-II
;Apple;Senior Full Stack Engineer - Privacy User Experience;Dublin, Ireland;x;Senior Full Stack Engineer - Privacy User Experience
;Wise;Senior frontend;Worship Square, 65 Clifton Street, London, United Kingdom;x;https://jobs.smartrecruiters.com/oneclick-ui/company/Wise/publication/f80e75eb-e965-4fe3-915b-bc7609626ed0?dcr_ci=Wise&sid=998bc6c9-cfbe-4db9-af4b-d7bb8407f264
;Zendesk;full stack;Dublin, Ireland;x;https://zendesk.wd1.myworkdayjobs.com/en-US/zendesk/details/Fullstack-Engineer---AI-Agents-Advanced-Insights_R30068?locationCountry=04a05835925f45b3a59406a2a6b72c8a
;workhuman;full stack;Dublin, Ireland;x;https://workhuman.wd1.myworkdayjobs.com/en-US/WorkhumanCareers/login?redirect=%2Fen-US%2FWorkhumanCareers%2Fjob%2FIreland%2FSoftware-Engineer-III_R2922%2Fapply%2FapplyManually
;Shopify;generic application;Dublin, Ireland;x;https://www.shopify.com/careers/extraordinary_0dac47b1-3275-48ce-aaca-10e1e18294e4/apply/thank-you
;flipdish;Senior Software Engineer;Dublin, Ireland;x;https://job-boards.eu.greenhouse.io/flipdish/jobs/4612940101
;Genesys;Frontend;galway, ireland;x;https://genesys.wd1.myworkdayjobs.com/en-US/Genesys/details/Software-Engineer---Frontend_JR108848-1?locationCountry=04a05835925f45b3a59406a2a6b72c8a
;Version 1;Full stack;Dublin, Ireland;x;https://www.version1.com/careers/job-listing/full-stack-developer-ref5681l/
;Brightery;Frontend;Dublin, Ireland;x;https://www.brightery.com/en/careers/apply/UID10
25/10/2025;wia;frontend;Dublin, Ireland;x;
;fly;;;;
;ibm;full stack react;Dublin, Ireland;x;https://ibmglobal.avature.net/en_US/careers/JobDetail?jobId=47517&source=WEB_Leadrouting
26/10/2025;Paypal;x;Dublin, Ireland;x;https://paypal.eightfold.ai/careers/join?domain=paypal.com
;pinterest;software engineer;Dublin, Ireland;x;https://www.pinterestcareers.com/jobs/7305998/software-engineer-ii/?gh_jid=7305998
28/10/2025;Beyond BMI;Frontend;Dublin, Ireland;50-60k;https://ie.indeed.com/q-react-developer-l-dublin,-county-dublin-jobs.html?vjk=a2a06aa009f7e843
;Talentiertstudiert;Frontend;Berlin;x;x
;IIElevenJobs;Frontend;Remote/dublin/berlin;x;https://jobs.ashbyhq.com/elevenlabs/ada7cd2c-8b9f-4f19-a88b-7c2ca1be1fde
;Blockdaemon;Frontend;Remote/dublin/berlin;x;
;Sto SE & Co. KGaA;Frontend;Berlin;x;
;adesso se ;frontend ;berlin;50-60k;
;rebike mobility;;münchen;50-60k;
;teamviewer;frontend angular/react;bremen;50-60k;https://careers.teamviewer.com/job/Bremen-AngularReact-Software-Engineer-%28all-genders%29-HB-28217/1169805255/?feedId=362455
;lightspeed;frontend;berlin;50-60k;
15/11/2025;Blockchain.com;frontend;London;x;https://job-boards.greenhouse.io/blockchain/jobs/6321676
;rebike mobility;react;Munich;x;https://mobility.rebike.com/en/jobs
;Framna;react;amsterdam;x;https://careers.framna.com/en-GB/connect/dashboard
;suitsupply;;amsterdam;;
;Calyptus;;amsterdam;;
;agap2;;amsterdam;;
;M-Cube;;amsterdam;;
;FRESH;;amsterdam;;
;Tesla;React and php;amsterdam;;
;OHB;Full stack;germany;x;https://career-ohb.csod.com/ux/ats/careersite/4/requisition/7460/application?c=career-ohb&lang=en-GB&jobboardid=0#1
;Hays;Full stack;Luxembourg;;https://www.aplitrak.com/?adid=bWVydGVuZy42Njk4OC4xMTk0QGhheXNmcmFuY2UuYXBsaXRyYWsuY29t
;utmost;Full stack;Luxembourg;;https://utmost.bamboohr.com/careers/467
16/11/2025;salonkee;node angular;Luxembourg;x;https://salonkee.com/jobs/en/careers/?ashby_jid=1466adca-46bb-400e-a733-4558b97ace7e&source=3j9J4g2RX5
;The flex;;Luxembourg;x;https://jobs.ashbyhq.com/The-Flex/131ca48a-076a-4f2f-a810-9828e6300cbf/application
;Kraken;senior frontend;x;x;https://jobs.ashbyhq.com/kraken.com/aa04e385-a718-4630-ba2a-815ff2483ac8/application
;ScoreChain;fullstack;Luxembourg;x;https://www.linkedin.com/jobs/search/?currentJobId=4335879249&f_TPR=r604800&geoId=100364719&keywords=react&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&spellCorrectionEnabled=true&start=25
;Siemens;;Munich;55K eur;https://jobs.siemens.com/en_US/externaljobs/Success?folderId=483372
;Mamgo (piden alemán xd);;Munich;;https://mamgo.typeform.com/to/Ph9CPfNl?title=Software+Engineer+%28m%2Fw%2Fd%29&targetid=2494151&broker=LinkedIn&location=M%C3%BCnchen&company=Academic+Work+GmbH&typeform-source=www.linkedin.com
;Clark;;Berlin;55k eur;
;ITRex;;Germany;x;
;Omio;;Berlin;;https://jobs.smartrecruiters.com/oneclick-ui/company/Omio1/publication/779786f4-f0b8-431d-94f4-f996199fcd1a/screening?dcr_ci=Omio1&sid=94b57654-5526-487e-b02e-3248e6f76de0
;Banxware;;Berlin;;https://banxware.jobs.personio.com/thank-you/2001943
;atolls;;Berlin;;https://atolls.com/careers/application/?gh_jid=7353330
;koppla;Vue;berlin;;
;Root;Full stack;Berlin;55k eur;https://jobs.ashbyhq.com/rootglobal/9c59cf47-feb2-4d33-8d1c-058b06ed6978/application
;Stripe;Full stack;Dublin;;https://stripe.com/jobs/listing/frontend-software-engineer-remediations-user-experience/7313894/apply
;TOPI;Full stack;Berlin;;https://job-boards.eu.greenhouse.io/topi/jobs/4693368101/confirmation
;Wunderflats;Full stack;Berlin;;https://job-boards.eu.greenhouse.io/wunderflats/jobs/4644368101/confirmation
;Gong;Frontend;Dublin, Ireland;;https://job-boards.greenhouse.io/gongio/jobs/4608473006
;Shutterstock;full stack;Dublin, Ireland;;https://shutterstock.wd1.myworkdayjobs.com/en-US/ShutterstockCareers/job/Dublin/Software-Engineer-III---FAE_R0003038?source=Otta
;ConstellR;full stack;Berlin;;https://constellr.recruitee.com/o/full-stack-developer-mission-operations-segment/c/new
26/11/2025;ABOUT YOU;Frontend;Berlin/Hamburg;62-67k eur;https://corporate.aboutyou.de/en/jobs/frontend-engineer-m-f-d-team-webstack-onsite-in-hamburg-or-berlin
;palm;frontend ;amsterdam;x;https://careers.usepalm.com/jobs/6777910-frontend-engineer
;heyjobs;front;berlin;55k eur;https://jobs.ashbyhq.com/heyjobs/52391d04-4aed-42d7-b950-9df49d3b5078/application
;optibus;full stack (node, react);berlin;55K eur;
;Mercanis;front (svelte lol);berlin;55K eur;https://mercanis.jobs.personio.de/job/2433007?language=en&display=en#apply
;Perk;software engineer in general;Berlin;50-60k;https://jobs.ashbyhq.com/perk/784505b1-1db1-461e-b3b0-3d9160121cb7
;Manna;software engineer in general;Dublin;50-60k;https://apply.workable.com/manna-1/j/0339F775BC/apply/?autofill
;koppla;;berlin;;https://koppla.jobs.personio.de/thank-you/2424804
01/12/2025;clio;software engineer in general;Dublin, Ireland;70-80k;https://clio.wd3.myworkdayjobs.com/en-US/ClioCareerSite/job/Dublin/Software-Developer_BF-REQ-3825?source=Otta
;iqvia;fullstack;amsterdam;.;https://iqvia.wd1.myworkdayjobs.com/en-US/IQVIA/job/Amsterdam-Netherlands/Medior-Full-Stack-Web-Developer_R1504643-1?source=Otta
;servicenow;senior frontend;amsterdam;x;https://jobs.smartrecruiters.com/ServiceNow/744000094610999-senior-software-engineer-front-end-react-?trid=94b57654-5526-487e-b02e-3248e6f76de0&utm_source=
07/12/2025;superchat;mid front;berlin;;https://job-boards.eu.greenhouse.io/superchat/jobs/4720895101
;Enpal;mid front;berlin;x;https://jobs.smartrecruiters.com/EnpalBV/744000096558816--senior-full-stack-developer-enpal-energy-f-m-x-?trid=94b57654-5526-487e-b02e-3248e6f76de0&utm_source=
10/12/2025;Trezor;full stack react;prague;85000-90000 CZK /anual (2200-2400 eur/mes);https://satoshilabs.com/careers?ashby_jid=9b87163e-b6fc-4cde-b5d5-922a2a81d1b5
;Omio;front;berlin;50-55K;https://jobs.smartrecruiters.com/oneclick-ui/company/Omio1/publication/779786f4-f0b8-431d-94f4-f996199fcd1a?dcr_ci=Omio1
;CloudFactory;front;berlin;50-55K;https://www.linkedin.com/jobs/search/post-apply/default/?currentJobId=4342970999&f_TPR=r86400&f_WT=3%2C1&geoId=103035651&keywords=react&origin=JOB_SEARCH_PAGE_JOB_FILTER&postApplyJobId=4342970999
;finperks;front;berlin;56K;https://join.com/companies/finperkscom/15347941-frontend-engineer-react-f-m-d-mid-level?pid=e65242534431eadcb0c9
;iqvia;mid full stack angular;Berlin;;
;every health;full stack;berlin;;https://www.linkedin.com/jobs/search/?currentJobId=4349139923&f_TPR=r86400&f_WT=3%2C1&geoId=103035651&keywords=react&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true
;grammarly;frontend;Berlin;;
12/12/2025;Zalando;frontend ;Berlin;;https://jobs.zalando.com/en/jobs/2719486?gh_src=2104be071
;raisin;front;Berlin;;https://job-boards.eu.greenhouse.io/raisin/jobs/4724273101?gh_src=gm65u122teu
;enpal;front;berlin;;https://www.linkedin.com/jobs/search/?currentJobId=4326853186&f_TPR=r86400&f_WT=1%2C3&geoId=103035651&keywords=react&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R
;aroundhome;front;berlin;;https://aroundhome.jobs.personio.de/job/277748?display=en&language=en&pid=a1e2b7d7-85ca-43cb-9ae3-6e68b62e10bf&it=jaZPAgmN2_yTYCGesBpIFw&_ghcid=71e67ea4-f328-4404-ad0c-95e7b0e31743#apply
;the recruitment company;full stack;dublin;;https://apply.recruitwizard.app/BFB58137818?showdetails=true
;aws;front;dublin;;https://www.amazon.jobs/es/jobs/3140200/front-end-engineer-dynamodb?cmpid=SPLICX0248M&ss=paid
16/12/2025;playstation;full stack;dublin;;https://job-boards.greenhouse.io/sonyinteractiveentertainmentglobal/jobs/5724319004
;simpleshow;full stack;Berlin;;https://jobs.simpleshow.com/jobs/6886429-senior-fullstack-developer-m-f-d
29/12/2025;umbrel;frontend senior;remote;;https://jobs.ashbyhq.com/umbrel/dc4ce904-4340-4fe0-b2c0-eacfa970bcb3/application
;Amazon;frontend;Dublin, Ireland;;https://account.amazon.jobs/es-ES/applicant/jobs/3140201/summary?result=success
;Raisin;frontend;berlin;;https://app.welcometothejungle.com/jobs/8zOzxzLj
;kraken.tech;full stack;Berlin/Hamburg;;https://jobs.lever.co/kraken123/9af4fc94-9c61-4ea5-b153-5f8938d1df25/apply
20/01/2026;Brightflag;frontend;Dublin;;https://job-boards.greenhouse.io/brightflag/jobs/8200758002
;justwarch;fronte;berlin;;https://jobs.lever.co/justwatch/d88fbdce-4a8a-4789-8d81-fba047ece668?lever-source=Otta
24/01/2026;8returns;;berlin;;https://jobs.ashbyhq.com/8returns/d5615754-6350-4d70-b04f-79fc59ae086d/application
;vamed engineer gmbh;;berlin;;https://www.linkedin.com/jobs/search/?currentJobId=4363684115&geoId=103035651&keywords=react&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true
;adevinta;;Berlin;;https://adevinta.com/jobs/senior-fullstack-engineer-d-f-m-consumer-orientation-2/
08/05/2026;PeecAI;frontend;Berlin;;https://jobs.ashbyhq.com/Peec/6b91aeeb-f051-4f48-8d16-44d3f0a6f186
10/05/2026;MindDen;frontend;santomera, murcia;35K (I rejected it);
15/06/2026;LiveEO;full stack;Berlin;50-60k eur;https://liveeo-gmbh.jobs.personio.de/job/2661997?language=en&apply
;Packmatic;full stack;Berlin;50-60k eur;https://jobs.lever.co/Packmatic/bf8aaa0d-b252-4ee8-b308-7c11e897bad9/apply
;Merantix;full stack;Berlin;50-60k eur;https://merantix.jobs.personio.de/job/2532243?language=en&apply
24/06/2026;kraken.tech;full stack;Berlin;50-60k eur;https://jobs.lever.co/kraken123/18682a57-bacc-493c-ba0d-8f0671a6dbdb/apply
;pandata;full stack;Berlin;50-60k eur;https://www.pandata.de/career/full-stack-developer/apply
;enpal;full stack;Berlin;50-60k eur;https://jobs.ashbyhq.com/enpal/73642bc4-b51b-4350-8d94-0154c192e7c7/application
22/07/2026;Doodle;full stack;Berlin;50-60k eur;
25/07/2026;Satispay;full stack;Milan;50k eur;https://jobs.ashbyhq.com/satispay/8bed4693-6d80-421c-8d64-5fd6bfc02096/application
02/08/2026;Capco;;Milan;creo que la idea sería 45k eur;https://job-boards.greenhouse.io/capco/jobs/5886767?gh_src=1f2efb3e1us
;Lexroom;;Milan;buscar 45k eur milano  parece;https://jobs.ashbyhq.com/lexroom/409599d9-ded1-401e-83c5-4848a776ef2e
;Trustfull;;Milan;;https://apply.workable.com/trustfull-1/j/88503E9B10/apply/?success
;mdotm;;Milan;;https://mdotm.bamboohr.com/careers/63
;veliu;;Milan;;https://jobs.ashbyhq.com/veliu/87102240-9e66-4e31-bd4b-9c2582768ff0/application
;moneyfarm;;Milan;;https://apply.workable.com/moneyfarm/j/DD702C60CF/apply/?autofill
;Amplemarket;;Milan;;https://job-boards.eu.greenhouse.io/amplemarket/jobs/4488062101
15/08/2026;Docebo;;Milan;41-55k;https://jobs.ashbyhq.com/docebo/2477dd0d-697e-4adf-8d1a-26da6c6283a2
;Klarna;;Milan;;https://jobs.deel.com/klarna
;mollie;;Milan;;https://jobs.ashbyhq.com/Mollie/2fa761ee-3fe0-423c-aaa2-4e9e31871ef6/application
;idealo;;Berlin;;https://jobs.idealo.com/l/en/o/senior-frontend-engineer-mwd-react-kafka-kotlin
;Talon one;;Berlin;;https://www.talon.one/job-listing?gh_jid=4917445101
;Launchametrics;;Milan;;https://careers.launchmetrics.com/jobs/8102801-full-stack-software-development-engineer-react-node-js
